col,model_name,test_sharpe,test_rmse,test_spearmanr,train_cagr,train_sharpe_ratio,calmar
base,ridge,0.005329631366421522,-0.015090300110953341,0.04131412915730791,0.3423069599804289,1.2902958175888977,1.3977904756319544
RSI_20,ridge,0.24381136452424376,-0.015105826675213369,0.04541289108904604,0.3790703007174856,1.397931286186589,1.6915861097573575
RSI_20_ta,ridge,0.203782378103532,-0.015090213253463597,0.04206523672115997,0.35509871968608175,1.3285966285292377,0.9328678692025778
RSI_25,ridge,0.24251184347053228,-0.01510447396008394,0.04353964919179677,0.3495138117977947,1.3116270187509849,1.6379402568684422
RSI_25_ta,ridge,0.14999005410086258,-0.015091450372485927,0.041751524721792034,0.33335655496258076,1.2641916271369174,0.8757497616087393
DT_RSI_2_20,ridge,0.4128306260646628,-0.014769745361377918,0.2184904584486341,1.1107990227753932,3.1295984951663596,3.4175233617752308
STO_20_1,ridge,0.1585864090505378,-0.015108758559711017,0.04115469822143726,0.33268950289086097,1.2616881901682295,1.4423006729617647
MADIFF_10_100_0,ridge,0.08048539127853022,-0.015072989212000431,0.041837974878320916,0.40057388062016464,1.4601556107986688,0.9789967181053753
MADIFF_10_100,ridge,0.06718197317448041,-0.015074016550878293,0.04117128586423212,0.3768686653655009,1.392065892149856,0.9210615179860674
MACD_10_100_5,ridge,-0.10982981952590179,-0.015104032386628066,0.07032368457881055,0.5859901144031299,1.9582159922857403,1.811053898572456
LINTRND_10,ridge,-0.10387150822209161,-0.015098744148807861,0.05396571107316648,0.44999797915470685,1.598212300321826,1.839933285669841
PR_INT_0,ridge,0.2566651362169049,-0.014313566944294736,0.3465655640138784,1.951386413883716,4.569307816735083,11.237481812805884
PR_INT_20,ridge,-0.14670085692977314,-0.0150267255326848,0.13825358046734249,0.609697344010143,2.018497632310295,1.5411000097751075
CMMA_10_252,ridge,-0.19294385590189894,-0.014960206352040447,0.16536495019637965,0.7795688152220155,2.4250344123471237,2.942214885415928
ENT_2_10,ridge,0.09950441120664474,-0.015098303404800029,0.04098276461470007,0.3382588847396364,1.2782548508383804,1.3741095317693421
ENT_4_16,ridge,0.07990392538046974,-0.015094059264297365,0.041387611759359746,0.2783968081188366,1.0969438021916769,0.6902012239826976
FTI_LP,ridge,-0.1518891737301595,-0.015094520880793789,0.041528437808029395,0.3986600124492732,1.4542067924145399,1.8627020108618435
FTI_BP,ridge,0.22500264549484994,-0.015093960382868785,0.043345877593362406,0.32295764381378755,1.2325465071526467,1.2649604959447527
FTI_BF,ridge,0.10134835566533831,-0.015094734901032738,0.04368591612247151,0.3381617564772361,1.2779865274590574,1.5043861275374948
base,rf,0.5377997872411123,-0.015407000963516524,0.017904686571238157,1.9750220738178332,4.604002010543908,13.133339424725444
RSI_20,rf,0.4558415207413061,-0.01567613574222003,0.02232053167338657,1.856853444787384,4.42453281103966,15.257474653186529
RSI_20_ta,rf,0.33508736302935327,-0.015469020718475803,0.023802733423293677,1.9462055224103243,4.560750679936188,14.309632221190478
RSI_25,rf,0.30791659198628585,-0.015562853666306914,0.02841339928969609,5.57213710137286,8.576368846191336,98.02270934425475
RSI_25_ta,rf,0.506000076858768,-0.015499898570527868,0.005955944352739639,1.8856149953340342,4.468794031711817,12.40633101184208
DT_RSI_2_20,rf,0.28893897729031137,-0.015053675984521809,0.20044691200817458,11.494523442557298,13.043427708010851,526.522710495664
STO_20_1,rf,0.41690527165973335,-0.015594849084803655,0.014453279886760503,2.008267414712957,4.653490182401845,16.36608714969185
MADIFF_10_100_0,rf,0.47600477853933876,-0.015621902110984177,0.034077989613054825,1.7908024510596103,4.321660697760316,11.908330921553734
MADIFF_10_100,rf,0.5755546149551196,-0.015497975917169763,0.030733935106268005,1.9534176248682527,4.5716412148426055,12.27754159141407
MACD_10_100_5,rf,-0.13243596133001487,-0.015565638971744756,0.015178931841062754,9.85192467925076,11.901145755661087,350.1248418550887
LINTRND_10,rf,0.25806771745388696,-0.015622719622685391,0.02933951239143835,5.33415923989718,8.364664065207595,91.74759997088125
PR_INT_0,rf,0.5310842938324928,-0.014572179239685474,0.29731101728014786,11.6300203552334,13.135991799889178,652.8953250675607
PR_INT_20,rf,0.2505460661113627,-0.015369186914718544,0.0739434447501017,2.4322245132681726,5.250918865094698,19.548497272337887
CMMA_10_252,rf,0.07018117702528108,-0.01567205084185018,0.1326792397988012,2.8492347350523484,5.787147156973165,21.094379230916815
ENT_2_10,rf,0.36048538415215237,-0.015445601501023112,0.016853405577328617,2.022227667755409,4.674187556483919,16.568122405450797
ENT_4_16,rf,0.4707348558536066,-0.015459896067105303,0.0403073185692794,1.7911620872314828,4.3222864248046085,11.910722400604648
FTI_LP,rf,0.38536488748190745,-0.01544818858141519,0.034702248902646185,2.057845402418718,4.7265970317149035,13.684091186551735
FTI_BP,rf,0.46830721966809136,-0.015452769742116615,0.019407016531009187,2.0987289372512423,4.786100129102465,17.238956839951207
FTI_BF,rf,0.2529476088628546,-0.015566960297514799,0.020618811933851833,1.7693714731402004,4.287874452860004,11.641511248588321
base,gb,0.21308338820597267,-0.01615382789215931,0.022779326985435874,8.013099442299808,10.556768485644186,118.84550539341618
RSI_20,gb,0.4254498827916352,-0.01679140904873735,0.04040351322961962,7.653722407224269,10.282288169110021,148.19331362279704
RSI_20_ta,gb,0.6112340521165802,-0.016242174507310282,0.019185076279739553,14.786885961562101,15.256065698789325,42644.40328583094
RSI_25,gb,0.4072740795909614,-0.016591878981484842,0.03852996912935201,14.791465495610927,15.259116393641815,-inf
