col,model_name,test_sharpe,test_rmse,test_spearmanr,train_cagr,train_sharpe_ratio,calmar
base,ridge,-0.07639929236639718,-0.015184896094211647,0.010386611078006484,0.39918709090278437,1.5436200504027333,1.3600417310415294
RSI_20,ridge,-0.11359214645719592,-0.015115590759361457,0.03934759323125414,0.5529456930898198,1.9921271119782515,1.820145367119446
RSI_20_ta,ridge,-0.02649956537225042,-0.015171222645871396,0.00965762411662505,0.3673728555106679,1.445197684836812,1.6859733217405524
RSI_25,ridge,-0.10395834803166297,-0.015131760110960842,0.03155822606333826,0.5466627229269243,1.974595197247144,2.0922142217726636
RSI_25_ta,ridge,-0.06502145639268393,-0.015176028073563696,0.010109305483071152,0.35512442403938893,1.4067249415769143,1.6554004547471688
DT_RSI_2_20,ridge,0.098460820868,-0.01472790553841262,0.24101421495268266,1.3674466227813684,3.8669636164475274,4.444653268023367
STO_20_1,ridge,-0.3031155772992665,-0.015138308556900501,0.02922200636082737,0.4568924377647241,1.7170215611699189,1.777462123013251
MADIFF_10_100_0,ridge,-0.1774487275334254,-0.01523067843255751,0.011049301211231535,0.3754976180468257,1.4705276616118763,1.2793310256987915
MADIFF_10_100,ridge,-0.15260089241239858,-0.015230369729215551,0.010961524214736253,0.3711071572432536,1.4568668405081913,1.2430986239603017
MACD_10_100_5,ridge,-0.40008756419693225,-0.01506188383888674,0.08345301824447933,0.5779015015615396,2.061209619771796,2.017388050557768
LINTRND_10,ridge,-0.007127483252587785,-0.015143229320808294,0.03218628278507098,0.5193588818839068,1.8977801680013398,1.8919717798757543
PR_INT_0,ridge,-0.3268716344221613,-0.013693816612225952,0.45443317810008804,2.6212423162550857,5.925556593584008,6.699748130071906
PR_INT_20,ridge,-0.3463295801435077,-0.014831764514208487,0.1906624586764623,1.2073235111816047,3.546522182528557,3.5141955450341396
CMMA_10_252,ridge,-0.48008428892796545,-0.014636917976938613,0.2180831488096151,1.108500259029182,3.3394981698004504,2.733520913331719
ENT_2_10,ridge,-0.17984127998369895,-0.015215553099043534,0.0067708781476501,0.3978596393996181,1.5395431731666305,1.423798941726622
ENT_4_16,ridge,-0.14518453914047108,-0.015184588566361817,0.015577851553939582,0.3893863102449602,1.5135102341555697,1.710126203455343
FTI_LP,ridge,0.23637019639235124,-0.015169457972467415,0.00997734218295125,0.35297703122719204,1.4000293359770897,1.108516601340293
FTI_BP,ridge,0.020419258883427528,-0.015178168342041484,0.01045178624938796,0.3689373747043714,1.4500953116927164,1.1352878101047539
FTI_BF,ridge,-0.17200603062225267,-0.01518512456191497,0.010612225698934821,0.37618420035150857,1.4726806960706462,1.3929970378863454
base,rf,0.27364560047947384,-0.01518560163501306,0.03197967099573757,5.246253005419861,9.035884555951705,102.15222198013056
RSI_20,rf,0.07461067092107139,-0.01497362010955314,0.10442144974799343,3.6948937489301636,7.31979789708271,33.277642559511314
RSI_20_ta,rf,0.6004294763622282,-0.015183166656937946,0.02276362620680339,2.426439168532645,5.643247391610678,22.558349077305976
RSI_25,rf,0.0377427722902525,-0.014976792404712844,0.08399254474560498,10.702905699302327,14.010279165377675,609.3204011450296
RSI_25_ta,rf,0.36168855700209185,-0.015225941821480052,0.022196215011527604,2.2466805349741126,5.373350808460543,18.420115848019577
DT_RSI_2_20,rf,-0.05340977749345606,-0.014812731439046817,0.244500217852621,7.79503719930139,11.471712877924453,190.71529853154172
STO_20_1,rf,0.1036903654502431,-0.015125966035267713,0.0628452244257905,6.590967650489725,10.360606239861008,87.83024107717745
MADIFF_10_100_0,rf,0.46529494449530195,-0.015107912639893297,0.02235641079017483,4.9086359111284255,8.683461372402386,98.58180472405017
MADIFF_10_100,rf,0.21017979097185502,-0.015212645480406298,0.03448943016057475,8.526456678663585,12.124150390719304,210.172043223165
MACD_10_100_5,rf,0.1986967286352238,-0.015175875933512906,0.08839919976918865,10.2603483682451,13.630829970779041,525.5775529746811
LINTRND_10,rf,0.466678036809889,-0.015207432184660748,0.04803991644267182,2.5008195231164074,5.752019712315839,18.82127093546331
PR_INT_0,rf,-0.2173494968823976,-0.013763646947318377,0.42905347243456404,5.525440970278227,9.32049172173447,99.64593757871167
PR_INT_20,rf,0.3143011375808748,-0.01489861675413554,0.20267508879973956,8.923388898856437,12.473104526493673,334.05547994975655
CMMA_10_252,rf,0.074216628967926,-0.014649696836967943,0.20988062572925018,11.133082228843255,14.378279641501514,759.5964670459462
ENT_2_10,rf,0.1593522065034206,-0.015206792757499471,0.026028379348802293,2.3963941099760917,5.598844584759195,21.843814967139785
ENT_4_16,rf,0.369626230119127,-0.015229829958466163,0.03173730404185927,2.175171372269028,5.263047651570353,16.11857896860584
FTI_LP,rf,0.48744510162849375,-0.015191087931433594,0.034751338594372946,2.4741565540519646,5.7132185673268,23.001972578591598
FTI_BP,rf,0.1954196883724427,-0.015183229952901283,0.02442990328318858,4.993725202132636,8.773199757617787,96.41465580979182
FTI_BF,rf,0.5858249890702912,-0.015205630569035677,0.03390025795067951,9.056680950661486,12.589645223015658,281.8483009252248
base,gb,0.2376694837064221,-0.015671900858589393,0.028039362529346013,7.70756964000862,11.392740480139015,189.9869688635262
RSI_20,gb,0.034856621590340364,-0.015599683067915922,0.07341358465104814,12.850635973657532,15.848959816245653,-inf
RSI_20_ta,gb,0.10688190190607409,-0.015827460778259687,0.01966859893903287,12.849895493870699,15.848322741415993,71732.0666909882
RSI_25,gb,0.07304685016553218,-0.01556358899240039,0.06228907080908662,12.850635973657532,15.848959816245653,-inf
