Date,Open,High,Low,Close,Volume,RSI_20,RSI_25,DT_RSI_2_20,STO_20_1,MADIFF_10_100_0,MADIFF_10_100,MACD_10_100_5,LINTRND_10,PR_INT_0,PR_INT_20,CMMA_10_252,ENT_2_10,ENT_4_16,FTI_LP,FTI_BP,FTI_BF
20100111,6.63100004196167,6.639999866485596,6.4604997634887695,6.515500068664551,175588000,,,,,,,,,,,,,,,,
20100112,6.44950008392334,6.491000175476074,6.327499866485596,6.367499828338623,181926000,,,,,,,,,,,,,,,,
20100113,6.394999980926514,6.485499858856201,6.287499904632568,6.45550012588501,214464000,,,,,,,,,,,,,,,,
20100114,6.456999778747559,6.519000053405762,6.320000171661377,6.367499828338623,195498000,,,,,,,,,,,,,,,,
20100115,6.459000110626221,6.482500076293945,6.353000164031982,6.35699987411499,307530000,,,,,,,,,,,,,,,,
20100119,6.315499782562256,6.400000095367432,6.2164998054504395,6.380499839782715,177852000,,,,,,,,,,,,,,,,
20100120,6.356500148773193,6.460000038146973,6.254000186920166,6.289000034332275,181494000,,,,,,,,,,,,,,,,
20100121,6.36299991607666,6.40749979019165,6.25,6.330999851226807,199412000,,,,,,,,,,,,,,,,
20100122,6.28000020980835,6.383500099182129,6.038000106811523,6.071499824523926,231378000,,,,,,,,,,,,,,,,
20100125,6.105000019073486,6.113999843597412,5.906000137329102,6.015500068664551,240478000,,,,,,,,,,,,,,,,
20100126,6.0279998779296875,6.14900016784668,5.953000068664551,5.973999977111816,191180000,,,,,,,,,,,,,,,,
20100127,6.051499843597412,6.166500091552734,5.940000057220459,6.137499809265137,295306000,,,,,,,,,,,,,,,,
20100128,6.221499919891357,6.360000133514404,6.139999866485596,6.301499843597412,545862000,,,,,,,,,,,,,,,,
20100129,6.488500118255615,6.59250020980835,6.206999778747559,6.270500183105469,589426000,,,,,,,,,,,,,,,,
20100201,6.158999919891357,6.243000030517578,5.690999984741211,5.94350004196167,755488000,,,,,,,,,,,,,,,,
