col,model_name,test_sharpe,test_rmse,test_spearmanr,train_cagr,train_sharpe_ratio,calmar
base,ridge,0.43488122669749096,-0.011739171702127238,0.01975478746608581,0.21582179229006404,1.0590186319208885,0.6678925993383248
RSI_20,ridge,0.35294979154965433,-0.011706579378246715,0.032778825073692924,0.350996594744015,1.5792379390059563,1.110142909137308
RSI_20_ta,ridge,0.36375453725279094,-0.011755184051108477,0.009378249484060505,0.2196484245640815,1.0745570495595869,0.7526835712299261
RSI_25,ridge,0.4594751359775633,-0.011722159283932606,0.026507554922211258,0.32159883721644245,1.4702940764500239,0.9688150805361174
RSI_25_ta,ridge,0.448514681628103,-0.01174390035178705,0.014910687571602146,0.21549560830056502,1.057703334877666,0.6668831745240007
DT_RSI_2_20,ridge,-0.11004892585410549,-0.010999593745153824,0.4419049087909146,2.026446743315901,5.876382942439792,6.914483771497058
STO_20_1,ridge,0.4019223432676172,-0.011718082751451104,0.027911557397539515,0.29327184895294667,1.3633558128336756,0.9534130782091947
MADIFF_10_100_0,ridge,0.6054857083037577,-0.011731962201578598,0.03192420133797759,0.1853612969664138,0.9345390078923528,0.6636342202744216
MADIFF_10_100,ridge,0.5176567951515956,-0.01173219743062931,0.031875659348114295,0.187627960324241,0.9439179035569024,0.6717493737326351
MACD_10_100_5,ridge,0.0786371398312107,-0.01147111644076592,0.15487748973906174,0.6595993346828439,2.6107890924726904,3.4876347872868676
LINTRND_10,ridge,-0.10641854212805515,-0.01166347244862245,0.07517480046975251,0.37676578039387043,1.6730037618437852,1.572948153669936
PR_INT_0,ridge,-0.46070653264677686,-0.009932497742777732,0.6193734129512473,3.6208794524673458,8.6226728253098,30.87942815250877
PR_INT_20,ridge,-0.1399882314662763,-0.011585355118662984,0.22008035303159237,0.8926985479556622,3.2867384885400157,3.121802920433691
CMMA_10_252,ridge,-0.28956107643020557,-0.010675042891172055,0.3892460468284241,1.7543892996052128,5.327398425795305,8.296033810995285
ENT_2_10,ridge,0.6852383603147219,-0.011748949394920737,0.019999751030047613,0.20740157690219796,1.0248694490963846,0.6332876170174555
ENT_4_16,ridge,0.46769610232937603,-0.011748382047328598,0.020338309667640976,0.2057079935155559,1.0180941378280846,0.5325100265518307
