col,tuning_sharpe,tuning_rmse,tuning_spearmanr,train_cagr,train_sharpe_ratio,train_calmar,test_spearmanr,test_sharpe,test_rmse,model_name
base,0.35724694395168816,-0.032080490254877456,-0.0061743862605496014,0.3311984531481733,0.8023161209827153,0.6986603826321147,-0.039307232375150075,1.532229883475165,0.002135501015611268,ridge
RSI_20,0.4279422331102268,-0.03207275758163272,0.0007306631591540824,0.26758200110048125,0.7162011901527425,0.5597843343174866,-0.02586783523445116,1.6249532453211546,0.002130364740217709,ridge
RSI_20_ta,0.5204349687114519,-0.032098416745422784,-0.008477407268155292,0.3447187022293787,0.8214912417189383,0.7305989306820195,-0.04295295688861379,1.3825713538199018,0.0021358926744493734,ridge
RSI_25,0.5323370613089045,-0.03207661325923927,-0.0015273001599020591,0.31672281405456215,0.788547180211675,0.5873011053255703,-0.031131313741085506,1.5436095223945703,0.002131950493089441,ridge
RSI_25_ta,0.5107385921000701,-0.03209100138384484,-0.007365159221895898,0.3386867442725545,0.8129242334278051,0.6756878974242597,-0.04666114996885587,1.017008384324175,0.002137448037376409,ridge
DT_RSI_2_20,0.35783565786702504,-0.03185860182772183,0.1284023042440034,1.868126274618886,2.2747903335904858,5.370895003466259,0.09962072767883566,0.9471970703166268,0.0021052824069160707,ridge
STO_20_1,0.5984880876376669,-0.032075122743343634,-0.0002290501106283517,0.5203578849796475,1.0542487919144665,1.2094470905436088,-0.030653297494397387,1.4991657541142944,0.0021320194781355305,ridge
MADIFF_10_100_0,0.5263288373960047,-0.032089913908125725,-0.008336363237101858,0.3531570297182707,0.8333312434231784,0.7140364166699292,-0.04064983616505092,1.5525037309046485,0.002134973540094634,ridge
MADIFF_10_100,0.6277440634223443,-0.03209044663781039,-0.007752065555125194,0.3489079781539228,0.827351896245277,0.6623017934646672,-0.04179374475459645,1.6175316876796075,0.0021356134182434596,ridge
MACD_10_100_5,0.2688860666152348,-0.03208177276280931,0.011344159569171341,0.2938260146291791,0.7484464383331784,0.48934026309006384,0.007376731791663252,1.703653725915854,0.002121726623715101,ridge
LINTRND_10,0.5241177938030672,-0.032100670047215965,-0.002223087841594782,0.3672216692700505,0.8529852336547593,0.7027359444159462,-0.019001090926338754,1.3493967778415736,0.0021304358381159226,ridge
PR_INT_0,0.5498578842353231,-0.03127763111347227,0.2173976989326253,3.759051411190365,3.2753797573192447,9.617278820006197,0.2696689471718038,-0.10906832029622093,0.0020046391678262584,ridge
PR_INT_20,0.5076747954314846,-0.0318829168947873,0.08942585522892732,1.0956659244433342,1.6682352929144824,2.3309927023077446,0.05471203739019687,0.7464432401035431,0.002114470031519599,ridge
CMMA_10_252,0.2645820583899999,-0.03193047578204598,0.07854512259086746,1.1259798797692424,1.6958497332784137,3.6303233705400393,0.10452701894872019,1.6193958218341993,0.0020946940118188573,ridge
ENT_2_10,0.09195168020297598,-0.03210580954409342,-0.011163872270117331,0.34410611963216997,0.8199645529621699,0.7273018773856221,-0.03388149866544781,1.5265664644763255,0.0021299451486600338,ridge
ENT_4_16,0.6510264320683181,-0.03219889928735818,0.0019517927366602419,0.2884892258804501,0.7400092822912814,0.49588976044145366,-0.047380071602085884,0.9745441569340084,0.002144069879637943,ridge
FTI_LP,0.4280706011838431,-0.032085857307663716,-0.006833847363258608,0.317763916714664,0.7820330281201224,0.6196515588518441,-0.03864717294063643,0.5616715508135687,0.002150604943138621,ridge
FTI_BP,0.538697526735803,-0.03209835861174615,-0.007417693910258512,0.3647793285630867,0.8495414655190274,0.7224678810482682,-0.042190727478917445,1.6281251209648515,0.0021355884714569714,ridge
FTI_BF,0.4314857734692164,-0.03208578412826165,-0.006257176587031915,0.2861932426815277,0.7370528701702188,0.49626097081327025,-0.03790291265180555,1.4308007471446835,0.002134992509067327,ridge
base,0.31180091824084083,-0.03240777625328167,0.023710947514498006,9.408876072960794,4.901994821686345,42.465180323569285,0.022515825879846005,0.803317981717487,0.0021808213657137456,rf
RSI_20,0.45492719377848145,-0.03246890605931878,0.03579236222624679,138.57196511482883,12.036472408296095,2093.5018044936833,0.043896602291690096,1.5131180162971372,0.0021924949876025264,rf
RSI_20_ta,0.31818145555363253,-0.03251863614575322,0.019800996692049273,9.927027170487127,5.007555278240274,52.82773760679277,0.006213474253472011,1.2167426029346866,0.002200300821549334,rf
RSI_25,0.29739103932005967,-0.0323890385654262,0.03890948699164641,144.20813714573225,12.185440869372423,2538.4308759746555,0.028843653360605834,0.8084212381300253,0.0022166550139318506,rf
RSI_25_ta,0.36110554188863936,-0.03236047391684085,0.025886524814535933,11.70603529776385,5.339332709948958,66.40231027961518,0.04215990087191787,1.534265579819656,0.0021706913717043966,rf
DT_RSI_2_20,0.32325133757218516,-0.032258895886329,0.12382862182595708,18.242097120420354,6.28672256519,99.06723064628994,0.06933469957190058,0.1483254376005244,0.002188923063549356,rf
STO_20_1,0.11374381070212858,-0.03251319576046794,0.018010315450689325,12.344474633433709,5.448528200256457,70.06521789743461,0.006886955649120771,0.6953039045533348,0.0021954478667952177,rf
MADIFF_10_100_0,0.1125717552608418,-0.032380162664741634,0.01517829150121226,10.14198682928857,5.050030774473098,40.527980822642455,0.024336602715046354,1.3045644710954636,0.0021681095435702293,rf
MADIFF_10_100,0.3061033496001123,-0.03251231683493219,0.014551444468846837,9.367962288723014,4.893668087400634,40.30862291917355,0.004141913719212103,0.7218983185502865,0.0021725589328056676,rf
MACD_10_100_5,0.22307378672508266,-0.032511478639167354,0.02775973603168665,246.9071504230552,14.42965143629527,9397.335264484127,0.023126932787883227,0.3311094716244551,0.0022014287855634377,rf
LINTRND_10,0.4663618632707326,-0.03252643616013978,0.03105919699970152,241.8810564623243,14.334459894157387,13391.825693642597,0.010012830046377107,0.4209601299952468,0.002197760009582164,rf
PR_INT_0,0.560296985090576,-0.03183058377694145,0.23562442241857645,189.43630564494208,13.264579707775297,4789.986150097419,0.21633631420560134,-0.25431540993092183,0.0020578621941757472,rf
PR_INT_20,1.172734048523801,-0.03255390012291508,0.08647656500687687,126.87663326768273,11.7141295211709,1847.9234296778627,0.06193483998505708,-0.015701013624479565,0.0021424738954748173,rf
CMMA_10_252,0.3999716929485475,-0.03230128825401839,0.08360791011192319,10.403111806552825,5.100702690695069,64.84747982345942,0.06904800899083237,1.0638248063803495,0.002139317299074108,rf
ENT_2_10,-0.0001551061933275682,-0.03247932069638153,0.015421646306664944,11.255619599578845,5.259460326961998,55.42347102363239,0.012025026720639572,0.797890910589462,0.002175540598049762,rf
ENT_4_16,0.6522974308511233,-0.0324843985001089,0.057680846749443536,12.564195024938615,5.484655058692331,58.79320269004622,-0.007873124835606456,0.4709049363615985,0.0021613935369211214,rf
FTI_LP,0.4890733502079502,-0.04843473277072459,0.021285194260867696,8.608354832287937,4.729225941211712,42.26251366015264,-0.02754652116800853,-1.816242041591087,0.002612070268216392,rf
FTI_BP,0.28952636271578375,-0.03237803248339754,0.03191871179884379,241.43198158666073,14.325909457282544,9749.078190076874,0.03943176183231721,0.5668422152406001,0.0022074687549796627,rf
FTI_BF,0.43677488634972156,-0.03248915626150815,0.01997550596259905,9.381055352483212,4.896164835759906,42.33881460580972,-0.002021965133476778,1.1591859864529854,0.0021941812811779584,rf
base,0.26061682382441054,-0.03619950797094664,0.018034600160278032,283.58175089268514,15.094017674534607,880111.6507477323,-0.021255008245646974,0.1599115934203205,0.0026153513592621414,gb
RSI_20,0.20342452417385362,-0.03609435050721168,0.022314853865854196,283.65020856695116,15.095213079993892,-inf,-0.04633322135299169,0.09411895327033301,0.002846101430530358,gb
RSI_20_ta,-0.1998084512710569,-0.03546980821998767,0.022693983733631757,283.65020856695116,15.095213079993892,-inf,-0.032458645346236804,0.148151883253279,0.0027291690857386905,gb
RSI_25,-0.145488814933235,-0.03615497608135249,0.049808054870944404,283.62291129782744,15.094736434358014,939091.2781032423,0.02390515565594151,0.8412696326292476,0.002460061154395658,gb
RSI_25_ta,-0.21644337085239046,-0.035622522089505296,0.03219919858476108,283.58015367942176,15.093989782248563,793656.3589750758,-0.03249684148797178,0.8804137712701344,0.0025355248045238325,gb
DT_RSI_2_20,0.46443477715192216,-0.03551156227029272,0.08184016436662431,283.65020856695116,15.095213079993892,-inf,-0.00949774660795604,-0.030549792125602396,0.002872776249207536,gb
STO_20_1,-0.30987597643149745,-0.03560177604191801,0.01694945252207151,283.65020856695116,15.095213079993892,-inf,-0.02720576642573253,0.13778633529183149,0.0033273717106414385,gb
MADIFF_10_100_0,0.043586249079813566,-0.036192932893396375,0.04041544020461094,283.65020856695116,15.095213079993892,-inf,-0.03801232672283454,-0.4963706514694026,0.003320161592952293,gb
MADIFF_10_100,-0.2557503047225812,-0.03555890985822851,0.0216891639161717,283.65020856695116,15.095213079993892,-inf,-0.02069297930297529,0.09314953597382435,0.0028661580485075102,gb
MACD_10_100_5,-0.13423003252136917,-0.03593422431238895,-0.005706149657797352,283.65020856695116,15.095213079993892,-inf,-0.008995457936224516,0.10559721315111228,0.002700670466244647,gb
LINTRND_10,0.4519650240072396,-0.036609675338624706,0.015060876128830048,283.65020856695116,15.095213079993892,-inf,-0.04214836049411946,0.0668028779282623,0.0031008296917971467,gb
