col,tuning_sharpe,tuning_rmse,tuning_spearmanr,train_cagr,train_sharpe_ratio,train_calmar,test_spearmanr,test_sharpe,test_rmse,model_name
base,0.5029262469592539,-0.014557295733190107,0.032928096685962596,0.3118488061487883,1.2467792098465942,1.305295325338833,0.061101038295535204,0.5493677969667048,0.0003270625677869279,ridge
RSI_20,0.7065652468164801,-0.014565835108715572,0.03615649433690908,0.337285889418933,1.3269342457096898,1.2417489680312308,0.06482287298498637,0.5732338009482194,0.00032683889645981044,ridge
RSI_20_ta,0.540083324433893,-0.014550667518095573,0.03290838802208226,0.33958178571633457,1.3339173000482833,1.421376348813922,0.06463504685127527,0.4632559846121955,0.0003279993838358905,ridge
RSI_25,0.6123449599532016,-0.014564872557249257,0.0350465744483711,0.3017172639086916,1.2144384343709052,1.157889550888443,0.06184823248470621,0.5098140458861138,0.00032701668169221734,ridge
RSI_25_ta,0.5560877258236514,-0.014553136941521388,0.03234122264062956,0.3478017094270782,1.359463048959779,1.4557822140368142,0.06310527617301491,0.669000416352224,0.0003275353499188598,ridge
DT_RSI_2_20,0.42591648420898603,-0.014164243880696172,0.22849219022508818,0.9617676203780652,2.956445080026545,4.924471746925599,0.2199237953021194,0.595597392692907,0.00031574714599962234,ridge
STO_20_1,0.4729232223269972,-0.014561592637324977,0.03298251754286187,0.29645804561529787,1.1975614670580865,1.240874723490545,0.05766456713172083,0.9587047569986555,0.00032726606004860096,ridge
MADIFF_10_100_0,0.7342122775046626,-0.014542752054107867,0.03477552460287305,0.25646017574416846,1.0672360687340376,0.7609180071245506,0.07284410147621401,0.5242640584290809,0.0003267369809947469,ridge
MADIFF_10_100,0.7594577199978649,-0.014542736394002151,0.03459548696604446,0.2653899920527154,1.0967193285417616,0.7868060946780038,0.07178729827645432,0.33269491301020343,0.0003267162665933072,ridge
MACD_10_100_5,0.36883603543621324,-0.014545755064888852,0.056423264218780536,0.35254082919858676,1.374580807929423,1.4106463440688826,0.10710597115470501,0.7556286451862653,0.0003224368221622303,ridge
LINTRND_10,0.33871295311166383,-0.014556637469195458,0.04387720113849559,0.3688012203323421,1.424124035908368,1.543679178458622,0.08238310287995261,0.6309350599050885,0.0003258603460552154,ridge
PR_INT_0,0.33121201874451,-0.013689669323500148,0.3474795247751611,1.6313566124584225,4.265766488268055,6.423380678332315,0.3821994648552115,0.15224958409190872,0.0002942122146724207,ridge
