Date,Open,High,Low,Close,Volume,RSI_20,RSI_25,DT_RSI_2_20,STO_20_1,MADIFF_10_100_0,MADIFF_10_100,MACD_10_100_5,LINTRND_10,PR_INT_0,PR_INT_20,CMMA_10_252,ENT_2_10,ENT_4_16,FTI_LP,FTI_BP,FTI_BF,RSI_20_ta,RSI_25_ta
20200109,1462.1400146484375,1466.760009765625,1460.9100341796875,1466.469970703125,3641230000,,,,,,,,,,,,,,,,,,
20200110,1469.81005859375,1470.8199462890625,1460.0999755859375,1462.0699462890625,3214580000,,,,,,,,,,,,,,,,,,
20200113,1465.22998046875,1473.1099853515625,1463.5400390625,1473.1099853515625,3459390000,,,,,,,,,,,,,,,,,,
20200114,1472.06005859375,1475.1500244140625,1467.1300048828125,1469.52001953125,3687620000,,,,,,,,,,,,,,,,,,
20200115,1469.530029296875,1476.6199951171875,1468.1800537109375,1472.22998046875,3721490000,,,,,,,,,,,,,,,,,,
20200116,1478.5699462890625,1483.6800537109375,1477.6800537109375,1483.510009765625,3540580000,,,,,,,,,,,,,,,,,,
20200117,1487.260009765625,1489.81005859375,1484.1500244140625,1489.6199951171875,3726220000,,,,,,,,,,,,,,,,,,
20200121,1486.030029296875,1490.050048828125,1483.7099609375,1485.6800537109375,4104840000,,,,,,,,,,,,,,,,,,
20200122,1489.72998046875,1493.1099853515625,1486.1300048828125,1486.699951171875,3623780000,,,,,,,,,,,,,,,,,,
20200123,1484.7900390625,1488.0400390625,1478.469970703125,1487.219970703125,3766710000,,,,,,,,,,,,,,,,,,
20200124,1491.0799560546875,1491.6300048828125,1468.6400146484375,1474.43994140625,3708780000,,,,,,,,,,,,,,,,,,
20200127,1450.699951171875,1458.4200439453125,1445.3399658203125,1451.199951171875,3831050000,,,,,,,,,,,,,,,,,,
20200128,1456.1700439453125,1469.760009765625,1455.3399658203125,1465.56005859375,3531570000,,,,,,,,,,,,,,,,,,
20200129,1473.27001953125,1475.5799560546875,1464.93994140625,1466.699951171875,3600250000,,,,,,,,,,,,,,,,,,
20200130,1459.56005859375,1472.260009765625,1452.780029296875,1471.239990234375,3790350000,,,,,,,,,,,,,,,,,,
